,Package,Description,Tests
415,dengue fever ns1 antigen rapid ,"About
Sample
BLOOD
Gender
Both
Age group
7 years & above
Dengue Fever NS1 Antigen, Rapid
Test Overview
Sample Type     Blood
Reports Delivery     same day
Price/Cost     ₹990
Number of Tests Included    1
What is a Dengue Fever NS1 Antigen, Rapid Test?
A dengue NS1 rapid test is a crucial diagnostic tool that assists in the early detection of a dengue infection. This test identifies the presence of the NS1 antigen, which is a protein secreted by the dengue virus in the initial stages of an infection. It is typically detectable within the first few days when fever starts to manifest. The dengue rapid test procedure is preferred over traditional antibody tests as they tend to take longer to present positive results since our body needs time to produce these antibodies.




Read More","Test(s) Included (1)
Dengue Fever NS1 Antigen, Rapid
1 Test Included"
416,immunoglobulin panel igg igm and iga ,"About
Sample
BLOOD
Gender
Both
Age group
7 years & above
This test measures the level of types of antibodies in the blood. Our immune system produces antibodies to protect us from bacteria, viruses, and allergens. Sometimes, our body may mistakenly treat healthy organs and tissues like foreign invaders and make antibodies against healthy organs and tissue. This is called as an autoimmune disease. The different types of antibodies are Immunoglobulin A (IgA), Immunoglobulin G (IgG), Immunoglobulin M (IgM), Immunoglobulin E (IgE), Immunoglobulin D (IgD).
Read More","Test(s) Included (3)
Immunoglobulin Panel [IgG, IgM & IgA] - Serum
3 Tests Included"
417,mumps igg ,"About
Sample
BLOOD
Gender
Both
Age group
7 years & above
The Mumps IgG test is a valuable diagnostic tool that can provide insights into your immunity. Mumps is a highly contagious viral infection that primarily affects the salivary glands leading to painful swelling and potential health complications. It can also cause inflammation in other parts of the body such as the brain, pancreas, and testicles. Common symptoms of Mumps may include:
Swelling and tenderness of the salivary glands (parotitis)
Fever















Read More","Test(s) Included (1)
MUMPS IGG
1 Test Included"
418,typhidot igm ,"About
Sample
BLOOD
Gender
Both
Age group
7 years & above
The Typhidot - IgM test is done to detect antibodies against Salmonella typhi. This test detects IgM antibodies against Salmonella typhi. With the help of this test, the presence or absence of Salmonella typhi can be detected. Salmonella typhi is responsible for causing typhoid fever. The Typhidot-IgM test is done: • To aid in cause of fever • In case of signs or symptoms of typhoid fever
Read More","Test(s) Included (1)
Typhidot - IgM
1 Test Included"
419,hs crp high sensitivityc reactive protein ,"About
Sample
BLOOD
Gender
Both
Age group
7 years & above
The hs-CRP test also known as the High Sensitivity C-reactive protein test helps to assess the risk of developing cardiovascular diseases. The hs-CRP test is done: • Along with lipid panel
Read More","Test(s) Included (1)
High Sensitivity C-Reactive Protein (HCRP)
1 Test Included"
420,widal test tube method ,"About
Sample
BLOOD
Gender
Both
Age group
7 years & above
Widal test (tube method) helps to detect typhoid fever and paratyphoid fever which are collectively known as enteric fever. Enteric fever is caused by the ingestion of food or water which is contaminated by bacteria. This test is performed through the tube method. The widal test is done: • To diagnose typhoid fever • To diagnose paratyphoid fever
Read More","Test(s) Included (4)
WIDAL TEST (TUBE METHOD)
4 Tests Included"
421,varicella chicken pox igg ,"About
Sample
BLOOD
Gender
Both
Age group
7 years & above
The varicella-zoster virus (VZV) causes chickenpox and shingles. Chickenpox or shingles are usually diagnosed with a visual examination by a healthcare professional. Sometimes, a healthcare provider may order a Varicella IGG test to check for immunity to the varicella-zoster virus (VZV). Varicella IGG test may be done on individuals who are at a higher risk of getting complications from VZV and who don't have or are unsure about their immunity, including pregnant women, new born babies, if the mother is infected, people (teens and adults) with symptoms of chickenpox, and those with HIV/AIDS or other conditions that affect immunity. Chickenpox is a common childhood disease that is highly contagious and may cause red, itchy sores throughout the body. Chickenpox is usually a mild illness in healthy children, but it can become serious for people with a weakened immune system, pregnant women, adults, and new born babies. Shingles may cause a painful, burning rash that may be localized in one part of the body, or it can spread to other parts. Usually, people with shingles will recover within three to five weeks, but sometimes it may cause long-term pain and other problems.
Read More","Test(s) Included (1)
Varicella IgG (Chicken Pox)
1 Test Included"
422,peripheral smear ,"About
Sample
BLOOD
Gender
Both
Age group
7 years & above
This is a procedure where a sample of blood is viewed under a microscope for different blood cells such as red blood cells, white blood cells, platelets, etc. The morphology (size of the cell, shape of the blood cells) of these cells are then studied to evaluate blood related problems. Peripheral smear is examined for problems like anaemia, jaundice, blood-related cancers, sickle cell disease, causes of enlargement of the spleen, liver, or lymph nodes and occasionally, for detecting parasites such as malaria and filarial in the blood stream.
Read More","Test(s) Included (5)
PERIPHERAL SMEAR
5 Tests Included"
423,vdrl rpr qualitative serum ,"About
Sample
BLOOD
Gender
Both
Age group
7 years & above
(VDRL) RPR Qualitative – Serum Test
Test Overview
Sample Type Blood
Reports Delivery 3 days
Price/Cost ₹370
Number of Tests Included 2
What is a (VDRL) RPR Qualitative – Serum Test?
The VDRL (venereal disease research laboratory) RPR (rapid plasma reagin) qualitative – serum test is a common screening test used in the detection of syphilis. Syphilis is a sexually transmitted bacterial infection that often goes unnoticed in its early stages due to its mild or even non-existent symptoms. However, if left untreated, it can lead to serious health complications over time.


Read More","Test(s) Included (2)
(VDRL) RPR Qualitative- Serum
2 Tests Included"
424,rubella antibody igg ,"About
Sample
BLOOD
Gender
Both
Age group
7 years & above
The Rubella IgG antibodies test helps to determine if sufficient rubella antibodies are present enough to protect from the rubella virus. It also helps to verify previous or recent rubella infection.   The Rubella IgG antibodies test is done: • As a part of the immunity panel • Prior to or during pregnancy to verify immunity • In case of signs and symptoms of rubella in a pregnant woman • In case of signs of abnormal development or birth defects in newborn
Read More","Test(s) Included (1)
Rubella IgG Antibodies
1 Test Included"
425,hbsag quantitative cmia ,"About
Sample
BLOOD
Gender
Both
Age group
7 years & above
Hepatitis B is a viral infection that causes liver inflammation and can lead to serious liver damage, cirrhosis, or even liver cancer in some cases. The virus spreads through contact with infected blood or body fluids. Those who are at higher risk of contracting Hepatitis B include healthcare workers, people who inject drugs, those who engage in unprotected sex, and newborns of infected mothers.
Symptoms of Hepatitis B
The following are the common symptoms of Hepatitis B:
1. Abdominal pain
2. Dark urine
3. Fever
4. Joint pain
5. Loss of appetite
6. Nausea and vomiting
7. Weakness and fatigue
8. Yellowing of skin and eyes (jaundice)

Read More","Test(s) Included (1)
HBsAg - Quantitative (CMIA)
1 Test Included"
426,absolute eosinophil count ,"About
Sample
BLOOD
Gender
Both
Age group
7 years & above
An absolute eosinophil count test helps to measure the number of eosinophils. This test helps to detect infections, allergic diseases, and other medical conditions. An absolute eosinophil count is done: • As a routine check-up • In case of parasitic infections • In case of signs and symptoms of allergy such as redness of eyes, itchy eyes, coughing, nasal congestion, asthma, dermatitis, or abdominal pain • To detect early stages of Cushing’s disease • To detect syndrome such as acute hypereosinophilic syndrome
Read More","Test(s) Included (1)
ABSOLUTE EOSINOPHIL COUNT (AEC)
1 Test Included"
427,fibrinogen ,"About
Sample
BLOOD
Gender
Both
Age group
7 years & above
Fibrinogen is a protein produced by the liver, which is essential for proper blood clot formation. There are two types of tests to evaluate fibrinogen. • A fibrinogen activity test assesses how well fibrinogen functions in helping to form a blood clot. • A fibrinogen antigen test gives the level of fibrinogen present in the blood.
Read More","Test(s) Included (1)
FIBRINOGEN
1 Test Included"
428,filaria antigen ,"About
Sample
BLOOD
Gender
Both
Age group
7 years & above
The Filaria Antigen test is a diagnostic test used to detect the presence of microfilariae infections in individuals. Microfilariae are filarial larvae, thread-like worms found in infected mosquitoes. When infected mosquitoes bite a human they transmit these thread-like worms into the blood causing a parasitic disease called Filariasis. The microfilariae also disrupt the lymphatic system's function thereby causing lymphatic filariasis. The Filaria Antigen test enables healthcare professionals to identify specific antigens produced by filarial worms, allowing for early detection and appropriate treatment of these conditions.

The microfilariae circulate in the body during the night, which is why a blood sample should be taken at that time. This test detects higher anti-filarial antibodies in the blood.

In severe cases, the symptoms of the infection are grossly swollen limbs, pitting of the skin, and swelling in the genitals. Filariasis, if left untreated, can develop into chyluria, hydrocele, lymphedema, and elephantiasis.

A Filaria Antigen test is recommended in the following cases:


















Read More","Test(s) Included (1)
FILARIA ANTIGEN
1 Test Included"
429,total leukocyte count tlc ,"About
Sample
BLOOD
Gender
Both
Age group
7 years & above
The total leucocyte count is a blood test that helps to measure the total number of leukocytes in the blood. The Total leucocyte count is done: • As a part of a routine check-up • To help in detection of infection and inflammation • To help detect the conditions that affect the number of white blood cells • To monitor the functioning of bone marrow • To monitor the ongoing chemotherapy treatment.
Read More","Test(s) Included (1)
Total Leucocyte Count (TLC)
1 Test Included"
430,hb tc dc esr mp ,"About
Sample
BLOOD
Gender
Both
Age group
7 years & above
The hemoglobin. total and differential leucocyte count test are done as a part of a complete blood count. It is done in case of signs and symptoms of anemia, polycythemia, leukemia, or leukopenia. It is done at regular intervals to monitor the ongoing response to the treatment. ESR is done to evaluate the degree of inflammation present in the body. The Malarial Parasite test helps to detect malaria antigens in the blood. The malarial parasite is detected when an individual is suffering from malaria. Anopheles mosquito if infected with malaria can transfer the malarial parasite to human blood by its bite. The hemoglobin, total, leucocyte count, differential leukocyte count and ESR test is done: • As a part of routine health check-up • As a part of complete blood count • To evaluate the hemoglobin content in the blood • To monitor the overall health of an individual such as weakness, fatigue, fever, • In cases when there are signs and symptoms related to conditions/diseases related to blood cells such as weakness, fever, inflammation, or bleeding. • To monitor the treatment of condition/diseases related to blood cells such as bleeding disorders and treatment procedures such as chemotherapy The Malarial Parasite test is done: • In case of signs or symptoms like fever with chills, nausea, vomiting, headache, diarrhea, and profuse sweating • As a part of fever panel check-up
Read More","Test(s) Included (24)
HB TC DC ESR MP
24 Tests Included"
431,peripheral smear for microfilaria mf ,"About
Sample
BLOOD
Gender
Both
Age group
7 years & above
Peripheral Smear for Microfilaria (MF) is a test performed to detect the presence of microfilariae in the blood and lymphatic tissues. Microfilariae are the larvae form of parasitic worms filariae when they are in their earliest stages. These microfilariae are transmitted to humans through the bite of infected mosquitoes. They cause filariasis in the infected person, which is a parasitic ailment.

Peripheral Smear for Microfilaria (MF) test helps in diagnosing filarial infections such as lymphatic filariasis and onchocerciasis. Apollo 24|7 provides this test as part of its comprehensive range of laboratory tests. The Peripheral Smear for Microfilaria (MF) test price at Apollo 24|7 is available at a very competitive rate.

Some of the symptoms of filariasis in humans include the following:















Read More","Test(s) Included (1)
Peripheral Smear For Microfilaria ( MF )
1 Test Included"
432,absolute lymphocyte count alc ,"About
Sample
BLOOD
Gender
Both
Age group
7 years & above
White Blood Cells (WBCs) are a type of blood cells found in the bloodstream and lymph tissues. They're an essential part of the immune system, which helps the body combat infections and diseases.
There are various kinds of WBCs, including:
Granulocytes with neutrophils, eosinophils, and basophils 
Monocytes 
Lymphocytes comprising B cells and T cells

Read More","Test(s) Included (1)
ABSOLUTE LYMPHOCYTE COUNT (ALC)
1 Test Included"
433,h1n1 pcr ,"About
Sample
SWAB
Gender
Both
Age group
7 years & above
H1N1 – PCR Test
Test Overview
Sample Type Blood
Reports Delivery 5 days
Price/Cost ₹4500
Number of Tests Included 5
What is an H1N1 – PCR Test?
The H1N1 – PCR test, better known as the swine flu test, is a diagnostic procedure that is performed to detect the presence of the H1N1 influenza virus in the body. The test helps doctors confirm if your symptoms are indeed due to swine flu and not a common cold or some other infection. Once confirmed, they can initiate appropriate treatment without delay.






Read More","Test(s) Included (5)
H1N1 - PCR
5 Tests Included"
434,zinc serum ,"About
Sample
BLOOD
Gender
Both
Age group
7 years & above
Serum zinc test is used to measure the amount of zinc in your blood. Zinc is one of an essential trace element required by the body. Zinc in the human body helps in maintaining a healthy immune system, production of cells, wound healing, growth and development in children, sexual development and reproduction. Zinc levels may decrease in conditions like absorption disorders of the stomach, alcoholism, pregnancy, burns and infections. Low levels of zinc may cause delay in growth, impaired wound healing, skin lesions, impaired immune system, hair loss, diarrhoea, impaired testosterone levels, seizures. High levels of zinc. High levels of zinc may cause chest pain, nausea vomiting, dizziness, fatigue, muscle pain, fever, headache, etc.
Read More","Test(s) Included (1)
ZINC - SERUM
1 Test Included"
435,scrub typhus igm elisa ,"About
Sample
BLOOD
Gender
Both
Age group
7 years & above
The Scrub Typhus IgM – Elisa test helps to detect rickettsial disease. The Scrub Typhus IgM – Elisa test is done: • In case of symptoms of rickettsial diseases • In case of exposure to rickettsial diseases
Read More","Test(s) Included (1)
SCRUB TYPHUS IgM - ELISA
1 Test Included"
436,anti streptolysin aso aslo latex ,"About
Sample
BLOOD
Gender
Both
Age group
7 years & above
The ASO/ASLO (Anti Streptolysin) latex test helps to detect if a person has recently been infected with streptococcal infection. It also helps to diagnose complications that result from streptococcus infections like rheumatic fever, or kidney disease. The ASO/ASLO (Anti Streptolysin) latex test is done: • In case of signs and symptoms of rheumatic fever • In case of signs and symptoms of edema • In case of signs and symptoms of glomerulonephritis • In case one has recently been infected with group A streptococcal infection that was not diagnosed and treated properly
Read More","Test(s) Included (2)
ASO/ASLO (Anti Streptolysin) Latex
2 Tests Included"
437,tc dc esr mp ,"About
Sample
BLOOD
Gender
Both
Age group
7 years & above
Our test provides precise outcomes with a safe and comfortable sample collection process. We prioritize accuracy and dependability to give you significant information about your health. Your safety and health are our top priority, and our easy-to-use process empowers you to take charge of your well-being.
Read More","Test(s) Included (23)
TC DC ESR MP
23 Tests Included"
438,total leukocyte counts and differential leukocyte countstlc and dlc ,"About
Sample
BLOOD
Gender
Both
Age group
7 years & above
Our test provides precise outcomes with a safe and comfortable sample collection process. We prioritize accuracy and dependability to give you significant information about your health. Your safety and health are our top priority, and our easy-to-use process empowers you to take charge of your well-being.
Read More","Test(s) Included (20)
Total Leucocyte Counts And Differential Leucocyte Counts(TLC & DLC)
20 Tests Included"
439,1 3 beta d glucan bdg ,"About
Sample
BLOOD
Gender
Both
Age group
7 years & above
1,3 Beta-D-Glucan (BDG) is a diagnostic test that is used to detect fungal infections such as aspergillosis and invasive candidiasis. Fungi are one of the most prevalent pathogens in our surrounding environment and are usually harmless. However, when certain types of fungi enter the body and spread rapidly, they can cause severe infections and life-threatening complications. The BDG test is a non-invasive blood test that helps in the early detection of fungal infections.




























Read More","Test(s) Included (1)
1,3 Beta-D-Glucan
1 Test Included"
440,epstein barr virus antibody to vca igg ,"About
Sample
BLOOD
Gender
Both
Age group
7 years & above
Our test provides precise outcomes with a safe and comfortable sample collection process. We prioritize accuracy and dependability to give you significant information about your health. Your safety and health are our top priority, and our easy-to-use process empowers you to take charge of your well-being.
Read More","Test(s) Included (1)
EBV - Viral Capsid Antigen (VCA) IgG
1 Test Included"
441,toxoplasma antibody igg avidity ,"About
Sample
BLOOD
Gender
Both
Age group
7 years & above
Toxoplasmosis is an ailment caused by Toxoplasma gondii, one of the most commonly encountered parasites in the world. The disease usually spreads by either eating undercooked meat, exposure to infected faeces of cats, or genetics, where it passed from the mother to the child during pregnancy.
It is especially fatal during pregnancy since the parasites might be transmitted through the placenta. The foetus can sustain severe damage before the development of toxoplasma-specific antibodies. However, if this infection is contracted before pregnancy, it poses no threat to the foetus since the maternal antibodies protect it.

Read More","Test(s) Included (1)
Toxoplasma Avidity IgG
1 Test Included"
442,epstein barr virus antibodies to vca igg and igm ,"About
Sample
BLOOD
Gender
Both
Age group
7 years & above
Our test provides precise outcomes with a safe and comfortable sample collection process. We prioritize accuracy and dependability to give you significant information about your health. Your safety and health are our top priority, and our easy-to-use process empowers you to take charge of your well-being.
Read More","Test(s) Included (1)
Epstein Barr Virus (VCA) IgG , IgM
1 Test Included"
443,wet mount for microfilaria ,"About
Sample
BLOOD
Gender
Both
Age group
7 years & above
Our test provides precise outcomes with a safe and comfortable sample collection process. We prioritize accuracy and dependability to give you significant information about your health. Your safety and health are our top priority, and our easy-to-use process empowers you to take charge of your well-being.
Read More","Test(s) Included (1)
WET MOUNT FOR MICROFILARIA
1 Test Included"
444,parvovirus b19 antibody igm ,"About
Sample
BLOOD
Gender
Both
Age group
7 years & above
As the name suggests, the Parvovirus B19 Antibody IgM Test is used to detect the presence of the Parvovirus B19 infection. It is a contagious childhood illness that can further cause the Fifth disease. This disease is characterized by a distinctive face rash known as the ""slapped cheek"" rash.
The impact of the parvovirus is generally mild on kids and requires minimal treatment. However, the infection can get quite severe for some adults. The risk is maximum for pregnant women with the infection, since it can lead to detrimental complications for the fetus. Furthermore, the symptoms might worsen for people with a compromised immune system or people with specific types of Anaemia.


Read More","Test(s) Included (1)
PARVOVIRUS B19 ANTIBODY IGM
1 Test Included"
445,epstein barr virus antibody to vca igm ,"About
Sample
BLOOD
Gender
Both
Age group
7 years & above
Epstein Barr Virus (EBV) is a type of virus that can cause infectious mononucleosis, also known as ""mono"". This virus spreads through saliva and can be transmitted through kissing, sharing utensils, or other close contact with an infected person. Most people are infected with EBV at some point in their lives, but many do not develop any symptoms. However, in some cases, it can lead to serious complications such as cancer. The EBV - Viral Capsid Antigen (VCA) IgM Panel is a comprehensive test that detects the presence of antibodies produced by the immune system in response to the EBV infection.





Read More","Test(s) Included (1)
EBV - Viral Capsid Antigen (VCA) IgM
1 Test Included"
446,filaria antibodies igg and igm ,"About
Sample
BLOOD
Gender
Both
Age group
7 years & above
Filaria is a parasitic infection caused by filarial worms and transmitted to humans through mosquito bites. The condition is found in tropical and subtropical regions of Africa, Asia, and the Americas. The Filaria Antibody Panel detects the presence of antibodies IgG and IgM against the filarial worm in the bloodstream. This lab test is crucial in detecting and treating filarial infections at an early stage.
Symptoms of Filaria Infection
- Swelling of the legs, arms, or genitals
- Fatigue
- Skin rash
- Fever
- Lymph node swelling
- Joint pain







Read More","Test(s) Included (2)
Filaria Antibody
2 Tests Included"
447,brucella igm ,"About
Sample
BLOOD
Gender
Both
Age group
7 years & above
Brucella is a kind of bacteria that leads to the spread of an infectious disease known as 'Brucellosis.' The bacteria have many strains and are usually found in animals like cows, goats, pigs, camels, sheep, and dogs. Recently, the strain was also found in red fox and some marine animals.
Brucella passes on from animals to humans when they come in contact with a diseased animal or infected animal product. It may also spread from one person to another. Breastfeeding mothers infected with brucellosis may pass on the bacteria to their young infants. Additionally, sexual contact between an infected and non-infected person can also spread it.

Read More","Test(s) Included (1)
BRUCELLA IGM
1 Test Included"
448,aspergillus igg antibody ,"About
Sample
BLOOD
Gender
Both
Age group
7 years & above
The Aspergillus IgG antibody test is a blood test used to detect the presence of immunoglobulin G (IgG) antibodies to Aspergillus fungi. Aspergillus is a common type of mold that can be found in the environment and can cause infections, particularly in people with weakened immune systems.
Aspergillus releases spores periodically, posing no harm to humans inhaling it. The immune system can get rid of these spores quickly, preventing infection in the body. However, individuals with weakened immune systems and prior respiratory issues might not react well to the inhalation of spores.

Read More","Test(s) Included (1)
ASPERGILLUS IgG ANTIBODY
1 Test Included"
449,herpes simplex virus hsv type 1 igg ,"About
Sample
BLOOD
Gender
Both
Age group
7 years & above
The Herpes Simplex Virus (HSV) antibody test identifies whether a person has ever been infected with the herpes simplex virus. It's a medical test that checks for specific antibodies in your system.
Antibodies are proteins produced by your immune system to combat specific infections, most commonly bacteria and viruses. This test determines whether you have antibodies to HSV-1 or HSV-2, the two types of herpes viruses.
Approximately 15 to 20 days after you are initially infected, your body starts producing two types of HSV-1 or HSV-2 antibodies. These are referred to as Immunoglobulin G (IgG) and Immunoglobulin M (IgM) antibodies.
Read More","Test(s) Included (1)
Herpes Simplex Virus (Hsv) Type 1 IgG Antibodies
1 Test Included"
450,amoebic serology igg entamoeba histolytica ,"About
Sample
BLOOD
Gender
Both
Age group
7 years & above
The amoebic Serology IgG (Entamoeba Hisstolytica) is a laboratory test that detects the presence of antibodies against the Entamoeba histolytica parasite. This parasite can cause amoebiasis, which is an infection that can lead to serious health complications. The test identifies specific antibodies in the blood sample, thereby aiding in the diagnosis of amoebiasis.
Symptoms of Amoebiasis
Amoebiasis is an infection caused by the parasite Entamoeba histolytica. Symptoms can vary from mild to severe, and some individuals may not show any symptoms at all. Here are common symptoms associated with amoebiasis:

Read More","Test(s) Included (1)
Amoebic Serology - IgG - Serum
1 Test Included"
451,weil felix test ,"About
Sample
BLOOD
Gender
Both
Age group
7 years & above
The Weil Felix Test, also known as the Weil-Felix reaction, is a laboratory test used to detect certain conditions or diseases caused by bacteriae from the genera Rickettsia and Proteus. This test helps in the diagnosis of rickettsial infections, typhus, typhoid fever, Rocky Mountain spotted fever, and some cases of pneumonia. By detecting the presence of specific antibodies in the blood sample, the Weil Felix Test aids in identifying these bacterial infections.

The bacteria Rickettsia is transmitted to humans by the bite of infected ticks and mites and by the faeces of infected lice and fleas. They enter via the skin and spread through the bloodstream to infect vascular endothelium in the skin, brain, lungs, heart, kidneys, liver, gastrointestinal tract, and other organs.

Rickettsial infections can present with the following symptoms:















Read More","Test(s) Included (6)
WEIL FELIX TEST
6 Tests Included"
452,thio purine methyl transferase tpmt genotyping ,"About
Sample
BLOOD
Gender
Both
Age group
7 years & above
Thiopurine drugs are offered to patients suffering from health complications such as autoimmune diseases and acute lymphoblastic leukaemia. Doctors might also prescribe these drugs to patients after undergoing organ transplantation.
However, some patients may suffer from the side effects of these drugs as they may be at the risk of developing thiopurine toxicity. The common side effects and ailments patients face after consuming these drugs include:

Read More","Test(s) Included (1)
TPMT (Thio Purine Methyl Transferase) Genotyping
1 Test Included"
453,hcv rna qualitative reflex to quantitative viral load ,"About
Sample
BLOOD
Gender
Both
Age group
7 years & above
Hepatitis C is a condition in which the virus causes scarring in the liver, leading to its eventual failure. Early detection of this infection is crucial to prevent liver damage and severe infection.
The HCV RNA Polymerase Chain Reaction (PCR) test determines the presence of the hepatitis C virus in your bloodstream. The blood test also detects the amount of virus, known as ‘viral load.’ Health experts carry this PCR test in two ways:
Qualitative testing



Read More","Test(s) Included (1)
HCV Rna Qualitative, Reflex To Quantitative (Viral Load)- Real Time Pcr
1 Test Included"
454,copper urine random ,"About
Sample
URINE
Gender
Both
Age group
7 years & above
The Copper-Urine random test is a diagnostic assessment that checks for symptomatic Wilson Disease or obstructive liver diseases like biliary cirrhosis and chronic active hepatitis through the patient’s urine sample. The test measures the amount of copper present in a patient’s urine sample, through which a doctor can determine if the patient has these disorders or not.
Copper is an essential micronutrient that plays a key role in the formation of connective tissue, bone, and melanin. It is also involved in the formation of red blood cells (RBCs) and assists in absorbing iron from the blood. It is stored in the liver and travels in the blood, attached to a protein called ceruloplasmin.

Read More","Test(s) Included (1)
COPPER - URINE RANDOM
1 Test Included"
455,cholinesterase ,"About
Sample
BLOOD
Gender
Both
Age group
7 years & above
Cholinesterase is an enzyme that supports the proper functioning of the nervous system. There are two types of cholinesterase:
Acetylcholinesterase: These are found in RBCs of lungs, spleen, nerve endings, and the brain’s grey matter.
Pseudocholinesterase: You can find them in serum, liver, muscle, pancreas, the white matter of the brain, and the heart.
The enzyme plays a vital role in transmitting the nerve impulse by breaking down the neurotransmitter acetylcholine. A reduction in the activity of the cholinesterase leads to an excess of acetylcholine in the nerve ending, leading to overstimulation of nerves within the body.


Read More","Test(s) Included (1)
CHOLINESTERASE
1 Test Included"
456,chlamydia trachomatis igg ,"About
Sample
BLOOD
Gender
Both
Age group
7 years & above
Chlamydia is a sexually transmitted disease caused by the bacterium Chlamydia trachomatis. It is one of the most common sexually transmitted infections worldwide. Many people who have it may not experience any symptoms initially. However, the infection can cause serious long-term complications such as pelvic inflammatory disease, infertility, ectopic pregnancy, and chronic pelvic pain. The condition is generally cured with antibiotics when detected early.
The Chlamydia Trachomatis IgG test is a lab test conducted to detect the presence of IgG antibodies against Chlamydia trachomatis bacteria in the blood. While most people affected with Chlamydia Trachomatis disease do not display any symptoms early on, eventually they may experience the following symptoms: 

Read More","Test(s) Included (1)
Chlamydia IgG
1 Test Included"
457,toxoplasma antibodies igg and igm ,"About
Sample
BLOOD
Gender
Both
Age group
7 years & above
Toxoplasmosis is a parasitic infection that is associated with flu-like symptoms. An individual can contract this infection by ingesting the parasite Toxoplasma gondii. This ingestion can occur via intake of raw meat, exposure to an infected cat's litter, or consumption of contaminated vegetables.
Pregnant women can pass the Toxoplasma infection to the unborn child through the placenta. During pregnancy, the infection can significantly increase the risk of complications like miscarriage. One of the most evident signs of toxoplasmosis is the production of antibodies Immunoglobulin G (IgG) and Immunoglobulin M (IgM). Hence, to detect the presence of such antibodies, you must undergo the toxoplasma IgG and IgM test.

Read More","Test(s) Included (2)
Toxoplasma IgG & IgM
2 Tests Included"
458,chlamydia trachomatis pcr ,"About
Sample
GENITAL SWAB/URINE
Gender
Both
Age group
7 years & above
Our test provides precise outcomes with a safe and comfortable sample collection process. We prioritize accuracy and dependability to give you significant information about your health. Your safety and health are our top priority, and our easy-to-use process empowers you to take charge of your well-being.
Read More","Test(s) Included (1)
Chlamydia Trachomatis,PCR
1 Test Included"
459,hepatitis b core antibody hbcab igm ,"About
Sample
BLOOD
Gender
Both
Age group
7 years & above
The Hepatitis B Core Antibody (HBCAB) IgM serum test is conducted to detect the presence of Hepatitis B core antibody IgM in the blood. This test helps in diagnosing acute or recent Hepatitis B virus (HBV) infection. The presence of HBCAB IgM indicates an ongoing active infection or a recent exposure to HBV.

The symptoms of Hepatitis B include:
Fatigue: Individuals with Hepatitis B may experience extreme tiredness and lack of energy.




























Read More","Test(s) Included (1)
Hepatitis B Core Antibody (Anti-HBC) IgM,Serum
1 Test Included"
460,rubella antibody igg avidity ,"About
Sample
BLOOD
Gender
Both
Age group
7 years & above
This test can help determine Rubella-specific IgG avidity in human plasma or serum to differentiate between acute and past infection. The presence of Rubella Virus IgG antibodies indicates the occurrence of Rubella infection. However, it does not differentiate between recent and past Rubella infections. Rubella is also called German measles. It can cause a mild fever and rash that subsides within a few days. For pregnant women, Rubella can be very serious. If infected in the first four months, the baby can have hearing, eye, heart problems or have an early birth.
Read More","Test(s) Included (1)
Rubella (German Measles) Avidity, IgG
1 Test Included"
461,hiv 1 rna pcr qualitative ,"About
Sample
WHOLE BLOOD EDTA/CSF
Gender
Both
Age group
7 years & above
Important Note: As per guidelines, the laboratory report of the test needs to be collected from the registered centre only. Details for the same will be shared once the test reports have been generated.
Read More","Test(s) Included (1)
Hiv-1 Rna Pcr Qualitative
1 Test Included"
462,herpes simplex virus hsv type 1 igg igm ,"About
Sample
BLOOD
Gender
Both
Age group
7 years & above
Our test provides precise outcomes with a safe and comfortable sample collection process. We prioritize accuracy and dependability to give you significant information about your health. Your safety and health are our top priority, and our easy-to-use process empowers you to take charge of your well-being.
Read More","Test(s) Included (2)
Herpes Simplex Virus Type 1 IgG And IgM Ab Serum
2 Tests Included"
463,chikungunya pcr ,"About
Sample
SERUM/EDTA PLASMA
Gender
Both
Age group
7 years & above
Chikungunya is a viral disease spread by the bite of an infectious mosquito carrying Togaviridae alphavirus. Aedes albopictus and Aedes aegypti mosquitoes are responsible for transmitting the infection to human beings, however, this is not the only mode of disease transfer. Since blood-to-blood interaction is vital, the virus can also propagate through maternal-fetal transmission and organ transplantation.
This mosquito-borne disease has the potential to convert into an epidemic quite easily as the spread happens when a mosquito feeds on the host/infected person. Since chikungunya virus infection is highly communicable, it’s important to catch the spread at its early stage.

Read More","Test(s) Included (1)
Pcr Chikungunya
1 Test Included"
464,hepatitis b e antibody hbeab ,"About
Sample
BLOOD
Gender
Both
Age group
7 years & above
Hepatitis B is a viral infection that causes inflammation in the liver. It can lead to serious health complications like cirrhosis and liver cancer if left untreated. The Hepatitis B E Antibody test, also known as the Anti Hb E test, is used to determine if a person is currently infected with or has had a past infection with the Hepatitis B virus. This test detects the presence of antibodies against the Hepatitis B e antigen in the blood.
Symptoms of Hepatitis B

Read More","Test(s) Included (1)
Hepatitis B E Antibody (Anti Hb E)
1 Test Included"
465,herpes simplex virus hsv type 2 igg ,"About
Sample
BLOOD
Gender
Both
Age group
7 years & above
The Herpes Simplex virus (HSV) Type 2 IgG antibodies test helps to detect if a person has been previously exposed to herpes simplex virus type 2. The Herpes Simplex virus (HSV) Type 2 IgG antibodies test is done: • To confirm herpes simplex virus 2 infection • To find out if a person has been previously exposed to herpes simplex virus 2 infection
Read More","Test(s) Included (1)
Herpes Simplex Virus (Hsv) Type 2 IgG Antibodies
1 Test Included"
